Stars
01. paulidale            Betelgeuse
02. Volfield             Centauri
03. Volfield             Cygnus
04. ThroughTheDeckGlass  [planet]
05. Steerpike.Instance   Cygnus X1
06. Steerpike.Instance   Bright Light
07. chadnorth            UY Scuti
07. SeaofStars           Alpha Blue
07. SeaofStars           Wolf-963
08. ctimmins             Transmaniacon
09. pikkusiili2000       Vega
09. pikkusiili2000       [color] dwarf
10. jajsxa               [person]'s star
10. jajsxa               Z4UID7SMYNU-5
15. ctimmins             Lux Æterna
04. ThroughTheDeckGlass  nameless [color] [size]
17. Adularia25           Sumarru
17. Adularia25           115b Kevin
18. Shardra              Binary [Star]
18. Shardra              Azathoth
19. dragontrainer        Prenova
19. dragontrainer        [Leader]'s Gift
