Persons
01. taen                 lover
02. ThroughTheDeckGlass  [Leader]
03. ThroughTheDeckGlass  member of [faction]
04. paulidale            The crazy cat lady across the [street]
05. paulidale            Genghis Khan
06. JugglinDan           Jorge, the friendly town undertaker who looks like David Bowie
07. Steerpike.Instance   an innocent bystander
08. Dutys_Fist           [size] bad [monster] who's having some trouble blowing down a [building material] house
07. Steerpike.Instance   Illegitmate child of [leader]
07. chadnorth            Ex-spouse
07. chadnorth            Sir Cumference
06. dragontrainer        [Faekind] cosplayer
07. SeaofStars           Police Person
07. SeaofStars           Secret Agent
08. ctimmins             Ögödei
09. pikkusiili2000       frenemy
09. pikkusiili2000       Bill, from [location]
10. jajsxa               [persons]'s ex-partner, who is now in a secret relationship with [leaders]
10. jajsxa               Half a dozen red shirts
08. ctimmins             Crazy Ivan
16. TheGoodGuy           THAT guy
17. Adularia25           Cyprian, Gardener at the [Faction] Consulate on [Planet]
17. Adularia25           Emmeld, Keeper of the Verdilean [Book] at [Structure]
18. Shardra              Wealthy Procuress
18. Shardra              [Goblinoid] Beggar
03. ThroughTheDeckGlass  [relative]
19. dragontrainer        Dungeonkeeper
