Forbidden Things
01. JugglinDan           artefacts
02. ThroughTheDeckGlass  consciousness transfer equipment and or spell
02. ThroughTheDeckGlass  Breaking the 4th wall
01. paulidale            [book] of [evil adjective] knowledge
01. paulidale            A different gender's toilet
07. Steerpike.Instance   knowledge of who revealed [petty things] in the presence of [person]
07. Steerpike.Instance   discarded toenail clippings
07. chadnorth            A cuban cigar
07. chadnorth            Gossip
06. dragontrainer        [Undead] eyeball
07. SeaofStars           Esoteric Knowledge
07. SeaofStars           Captured Souls
08. ctimmins             Photosynthesis
09. pikkusiili2000       Shrine of [deity]
09. pikkusiili2000       Golem of [building material]
03. taen                 transparent garden gnomes
03. taen                 caramelised coffee beans
03. sbszine              [temperament] gas under high pressure
10. jajsxa               raw [monsters] [bodyparts]
10. jajsxa               [undead] summoning bracelet
14. robbbbbb             Your wife's purse
14. robbbbbb             A complete set of accounting books for [faction]
08. ctimmins             Krokodil (dihydrodesoxymorphine-D)
17. Adularia25           The Preserved Left Hand of [Deity]
17. Adularia25           A Jar from the [Temporal] [Structure]
18. Shardra              Ezoran Logic
18. Shardra              Onanism
19. dragontrainer        Secret recipe
01. Dutys_Fist           [faekind] [building material]
01. Dutys_Fist           [leader]'s secret diary
