Faekind
01. paulidale            Pixie
02. ThroughTheDeckGlass  ancient elven [rank]
06. dragontrainer        Half-elf/Half-[goblinoid]
07. SeaofStars           Red Cap
07. SeaofStars           Frost Maiden
08. ctimmins             Arbitrary and capricious spirit
09. pikkusiili2000       elemental
09. pikkusiili2000       Brownie
10. jajsxa               eladrin
10. jajsxa               fae-[monster]
08. ctimmins             [evil adjective] [animal]-Sprite
02. ThroughTheDeckGlass  selkie
17. Adularia25           Clurichaun
17. Adularia25           Fuath
18. Shardra              Bushtra
18. Shardra              Kolivilor
01. Dutys_Fist           [faekind]-[faekind] hybrid
01. Dutys_Fist           [beast]-fae
