Ranks
01. ThroughTheDeckGlass  courtier
02. ThroughTheDeckGlass  captain
07. Steerpike.Instance   Uber Associate
07. Steerpike.Instance   Underling
01. paulidale            \textcyrillic{Капитан-лейтенант} (Captain-Lieutenant)
01. paulidale            Fourth rate
07. chadnorth            Thane
07. chadnorth            Thrall
06. Dragontrainer        [Occupational duty] Intern
07. SeaofStars           Trainee
07. SeaofStars           Squire
08. ctimmins             Gunnery Sergeant
09. pikkusiili2000       [\#] star [superlative] general
09. pikkusiili2000       Master
10. jajsxa               Rear Admiral
10. jajsxa               Personal Assistant to the [ranks]
08. ctimmins             Ünter-[Ranks]
17. Adularia25           Private First Class
17. Adularia25           Level 5 Initiate
18. Shardra              Nëntoger
18. Shardra              Nënadmiral
19. dragontrainer        Secretary of State
