Temporal
01. Dutys_Fist           sudden
02. Steerpike.Instance   Lingering
03. Steerpike.Instance   yet to be announced
04. ThroughTheDeckGlass  spontaneous
04. ThroughTheDeckGlass  during [game] playtime
07. SeaofStars           Will already have happened (time travel related tense)
07. SeaofStars           In the distant past
08. ctimmins             Anticline Reflection
09. pikkusiili2000       instant
09. pikkusiili2000       retroactive
10. jajsxa               [temperaments] 1d8 minutes
10. jajsxa               time it takes a [monster] to walk from [location] to the nearest [building materials]
08. ctimmins             Carnal Perpetuity
16. TheGoodGuy           decades-long
17. Adularia25           Just Completed
17. Adularia25           Yet to Come to Pass
18. Shardra              Anti-chronological
18. Shardra              Mañana
02. paulidale            d6 microfortnights
02. paulidale            brief in the geological sense
