Relatives
01. paulidale            Sibling
10. sdonohue             Step-[Relative]
10. sdonohue             Cousin
09. pikkusiili2000       [#] cousin
09. pikkusiili2000       [superlative] [superlative] father
08. ctimmins             Great Aunt
08. ctimmins             Second Cousin, Once Removed
16. TheGoodGuy           Mother-in-law
17. Adularia25           Great Aunt
17. Adularia25           Adoptive Uncle
04. sbszine              Grandma Esmerelda
04. sbszine              Brother from another mother
18. Shardra              Child
18. Shardra              Grandchild
03. ThroughTheDeckGlass  [relative] of [relative]
03. ThroughTheDeckGlass  parent
11. jajsxa               twelfth cousin
11. jajsxa               [relative]'s [relative]'s [relative]'s [relative]'s former roommate
07. SeaofStars           Adopted Sibling
07. SeaofStars           Cool Aunt
