Evil Adjectives
01. paulidale            Vile
09. pikkusiili2000       depraved
09. pikkusiili2000       malicious
08. ctimmins             Crudescent
08. ctimmins             Iniquitous
17. Adularia25           Contemptible
17. Adularia25           Pernicious
04. sbszine              Evil
04. sbszine              Lustful
18. Shardra              Racist
18. Shardra              Murderous
03. ThroughTheDeckGlass  foresworn
03. ThroughTheDeckGlass  lying
11. jajsxa               not at all [good adjectives]
11. jajsxa               [swamp-adjective]
07. SeaofStars           Blood-thirsty
07. SeaofStars           Foul
01. Dutys_Fist           [good adjective]
01. Dutys_Fist           [flower]-scented
