good-adjectives
01. paulidale            Righteous
10. jajsxa               delightful
10. jajsxa               [temperaments] and punctual
08. ctimmins             Valiant
08. ctimmins             Pearlescent
09. pikkusiili2000       Uber
09. pikkusiili2000       Super
17. Adularia25           Beauteous
17. Adularia25           Unblemished
04. sbszine              Good
04. sbszine              Charitable
18. Shardra              Loving
18. Shardra              Mothering
03. ThroughTheDeckGlass  merciful
03. ThroughTheDeckGlass  compassionate
07. SeaofStars           Pure
07. SeaofStars           Honorable
01. Dutys_Fist           [evil-adjective]
01. Dutys_Fist           [flower]-scented
